GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS_CORREGIMIENTO_VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION_DE_LA_VICTIMA,CLASE_DE_SINIESTRO,LESIONADO,HOMICIDIOS,CLINICA,SITIO,CLASE_DE_VEHICULO,MARCA,MATRICULA,TIPO_DE_SERVICIO,EMPRESA, , .1
DAÑOS,11/06/2020 12:00:00 AM,2020,1899-12-31T16:00:00.000,TARDE,5_VIERNES,VERSALLE S,CALLE 42 CARRERA 28,URBANA,TECNICO,3.53812,-76.29703,ESTACIONARSE SIN LA MEDIDAS DE PECAUCION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHERY,PALMIRA,PUBLICO,COOTRANSPAL,,
DAÑOS,11/06/2020 12:00:00 AM,2020,1899-12-31T16:00:00.000,TARDE,5_VIERNES,VERSALLE S,CALLE 42 CARRERA 28,URBANA,TECNICO,3.53812,-76.29703,ESTACIONARSE SIN LA MEDIDAS DE PECAUCION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,BUS,HINO,IBAGUE,PUBLICO,COODETRANS PALMIRA,,
HERIDOS,11/06/2020 12:00:00 AM,2020,1899-12-31T20:20:00.000,NOCHE,5_VIERNES,LA ITALIA,CARRERA 26 CALLE 6,URBANA,TECNICO,3.50534,-76.29749,ADELANTAR INVADIENDO CARRIL,MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMA,NO APLICA,MOTO,YAMAHA,PRADERA,PARTICULAR,NO APLICA,,
HERIDOS,11/06/2020 12:00:00 AM,2020,1899-12-31T20:20:00.000,NOCHE,5_VIERNES,LA ITALIA,CARRERA 26 CALLE 6,URBANA,TECNICO,3.50534,-76.29749,ADELANTAR INVADIENDO CARRIL,MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMA,NO APLICA,MOTO,VICTORY,FLORIDA,PARTICULAR,NO APLICA,,
MUERTO,11/07/2020 12:00:00 AM,2020,1899-12-31T14:30:00.000,TARDE,6_SABADO,CENTRO POBLADO GUAYABAL,PREDIO K 3  + 252,RURAL,TECNICO,3.54613,-76.26432,POR ESTABLECER,MOTOCICLISTA,VOLCAMIENTO,1,NO APLICA,RAUL,NO APLICA,MOTO,SUZUKI,FLORIDA,PARTICULAR,NO APLICA,,
MUERTO,11/07/2020 12:00:00 AM,2020,1899-12-31T14:30:00.000,TARDE,6_SABADO,CENTRO POBLADO GUAYABAL,PREDIO K 3  + 252,RURAL,TECNICO,3.54613,-76.26432,POR ESTABLECER,ACOMPAÑANTE MOTOCICLISTA,VOLCAMIENTO,NO APLICA,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,
DAÑOS,11/07/2020 12:00:00 AM,2020,1899-12-31T16:00:00.000,TARDE,6_SABADO,LOS PINOS,CALLE 42 CARRERA 22,URBANA,TECNICO,3.53726,-76.29239,ADELANTAR EN INTERSECCION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,NISSAN,CALI,PARTICULAR,NO APLICA,,
DAÑOS,11/07/2020 12:00:00 AM,2020,1899-12-31T16:00:00.000,TARDE,6_SABADO,LOS PINOS,CALLE 42 CARRERA 22,URBANA,TECNICO,3.53726,-76.29239,ADELANTAR EN INTERSECCION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,AKT,PRADERA,PARTICULAR,NO APLICA,,
HERIDOS,11/07/2020 12:00:00 AM,2020,1899-12-31T20:20:00.000,NOCHE,6_SABADO,TRINIDAD,CALLE 28 CARRERA23,URBANA,TECNICO,3.52473,-76.29501,DESOBEDECER SEÑALES,MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMIRA,NO APLICA,MOTO,AKT,PRADERA,PARTICULAR,NO APLICA,,
HERIDOS,11/07/2020 12:00:00 AM,2020,1899-12-31T20:20:00.000,NOCHE,6_SABADO,TRINIDAD,CALLE 28 CARRERA23,URBANA,TECNICO,3.52473,-76.29501,DESOBEDECER SEÑALES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,CHEVROLET,BOGOTA,PARTICULAR,NO APLICA,,
HERIDOS,11/07/2020 12:00:00 AM,2020,1899-12-31T20:20:00.000,NOCHE,6_SABADO,TRINIDAD,CALLE 28 CARRERA23,URBANA,TECNICO,3.52473,-76.29501,DESOBEDECER SEÑALES,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,
